"FID","AREA_S_CD","AREA_NAME","Neighbourhood","Arsons","Assaults","Break & Enters","Drug Arrests","Fire Medical Calls","Fire Vehicle Incidents","Fires & Fire Alarms","Hazardous Incidents","Murders","Robberies","Sexual Assaults","Thefts","Total Major Crime Incidents","Vehicle Thefts","id","Equity_Score"
136,"046","Pleasant View (46)","Pleasant View",0,44,23,13,296,68,86,39,0,25,9,3,127,10,"046",76.16
30,"010","Princess-Rosethorn (10)","Princess-Rosethorn",0,48,50,16,214,22,76,54,0,17,1,9,157,16,"010",65.72
87,"072","Regent Park (72)","Regent Park",1,116,36,55,413,51,212,130,1,18,13,1,259,19,"072",76.57
103,"004","Rexdale-Kipling (4)","Rexdale-Kipling",0,59,32,15,305,34,94,55,1,16,20,3,164,18,"004",29.81
115,"111","Rockcliffe-Smythe (111)","Rockcliffe-Smythe",2,182,68,50,795,62,195,112,0,31,29,5,404,39,"111",43.76
59,"086","Roncesvalles (86)","Roncesvalles",1,192,75,74,782,77,264,134,0,18,13,4,386,10,"086",33.86
74,"098","Rosedale-Moore Park (98)","Rosedale-Moore Park",0,85,82,9,972,130,578,222,0,20,12,9,237,20,"098",64.95
97,"131","Rouge (131)","Rouge",2,170,134,33,838,220,296,179,0,62,30,14,534,91,"131",83.78
53,"089","Runnymede-Bloor West Village (89)","Runnymede-Bloor West Village",1,69,42,8,311,20,83,75,0,17,3,5,165,21,"089",48.81
13,"028","Rustic (28)","Rustic",0,86,43,25,380,83,181,92,1,41,14,5,233,18,"028",85.85
14,"139","Scarborough Village (139)","Scarborough Village",1,226,93,31,652,35,180,94,1,62,31,3,474,27,"139",35.4
15,"085","South Parkdale (85)","South Parkdale",2,333,64,140,1056,158,491,168,1,42,16,9,634,29,"085",33.94
16,"070","South Riverdale (70)","South Riverdale",2,276,182,89,895,199,367,231,1,47,21,9,660,35,"070",33.1
17,"040","St.Andrew-Windfields (40)","St.Andrew-Windfields",0,63,112,5,502,200,249,108,0,12,10,7,235,26,"040",59.94
126,"116","Steeles (116)","Steeles",2,51,82,5,330,48,95,45,0,26,7,4,205,30,"116",77.43
4,"016","Stonegate-Queensway (16)","Stonegate-Queensway",1,131,86,19,729,81,167,135,0,21,10,9,326,50,"016",51.66
5,"118","Tam O'Shanter-Sullivan (118)","Tam O'Shanter-Sullivan",4,112,81,27,711,111,276,97,0,37,18,5,292,12,"118",69.29
18,"061","Taylor-Massey (61)","Taylor-Massey",1,187,51,28,523,18,212,89,1,28,19,7,343,22,"061",55.14
6,"063","The Beaches (63)","The Beaches",0,114,119,12,369,23,165,162,0,11,14,7,292,15,"063",82.62
7,"003","Thistletown-Beaumond Heights (3)","Thistletown-Beaumond Heights",0,85,36,16,323,48,90,34,0,17,24,2,192,12,"003",39.78
8,"055","Thorncliffe Park (55)","Thorncliffe Park",2,130,25,30,609,41,227,87,0,17,8,4,253,39,"055",33.09
37,"081","Trinity-Bellwoods (81)","Trinity-Bellwoods",1,165,67,62,757,83,234,135,1,23,19,2,361,22,"081",60.09
